EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,Attrition,TenureToIncomeRatio,SatisfactionScore
1,50,Male,Married,Master,IT,DevOps Engineer,5.0,1.1,5,12164,3,2,1,2,3,No,5.9,1,0,1,0.41104899704044723,2.0
2,28,Male,Divorced,High School,Operations,Logistics Coordinator,3.2,1.5,1,4917,3,4,3,4,3,Yes,6.9,2,1,1,0.6508033353670938,3.5
3,50,Female,Divorced,Master,Operations,Logistics Coordinator,2.9,2.9,0,9202,2,4,1,4,3,No,17.3,0,0,0,0.3151488806781134,2.75
4,29,Male,Married,Master,HR,HR Business Partner,2.6,2.1,2,7275,3,1,4,4,3,Yes,3.0,0,0,1,0.35738831615120276,3.0
5,35,Female,Single,Master,HR,HR Manager,3.6,3.2,1,7402,4,3,1,4,3,No,11.4,2,5,0,0.4863550391786004,3.0
6,27,Male,Married,Bachelor,HR,Recruiter,5.0,4.2,0,6450,3,2,1,4,3,No,9.2,0,6,0,0.7751937984496123,2.5
7,53,Male,Married,Master,Sales,Sales Manager,1.2,1.2,1,7698,1,2,2,4,2,Yes,6.8,1,2,1,0.1558846453624318,2.25
8,38,Female,Married,Bachelor,HR,HR Business Partner,5.3,1.7,2,7092,1,3,4,4,3,Yes,1.8,1,6,0,0.7473209249858996,3.0
9,22,Female,Single,Master,IT,DevOps Engineer,0.0,0.0,0,12020,1,2,1,4,4,Yes,9.4,1,0,1,0.0,2.0
10,32,Female,Married,Master,HR,Recruiter,7.0,2.2,0,6006,1,1,4,1,1,No,5.7,0,3,1,1.1655011655011656,1.75
11,43,Male,Divorced,Bachelor,Finance,Finance Manager,6.3,4.5,6,8017,4,3,4,1,2,Yes,16.4,1,0,1,0.7858301110140951,3.0
12,42,Male,Married,Bachelor,IT,Software Engineer,8.1,0.9,0,12339,2,2,2,1,4,Yes,11.6,5,4,1,0.6564551422319475,1.75
13,28,Male,Married,Master,Operations,Supply Chain Analyst,2.4,0.6,1,8264,2,3,1,2,3,Yes,1.7,1,4,1,0.29041626331074544,2.0
14,26,Male,Single,Master,HR,HR Business Partner,4.0,0.7,0,6172,2,1,2,1,2,No,6.2,1,5,1,0.6480881399870383,1.5
15,22,Female,Married,Master,Finance,Finance Manager,0.0,0.0,0,9149,1,2,4,1,2,No,12.8,1,3,1,0.0,2.0
16,40,Male,Married,Master,Operations,Supply Chain Analyst,5.8,3.2,0,8352,4,2,3,4,2,No,11.6,3,4,0,0.6944444444444444,3.25
17,52,Male,Married,High School,Sales,Sales Manager,8.8,1.7,3,6703,1,3,4,2,3,No,10.5,0,0,1,1.3128449947784575,2.5
18,57,Male,Single,Master,Finance,Financial Analyst,3.7,1.2,1,11151,1,2,4,4,3,Yes,11.1,1,4,1,0.3318088063850776,2.75
19,33,Male,Married,Master,Sales,Account Manager,5.3,1.1,2,9484,1,3,3,1,3,Yes,20.5,1,4,1,0.5588359342049768,2.0
20,59,Female,Married,Bachelor,Operations,Operations Manager,6.0,1.4,0,7629,2,3,3,2,4,Yes,6.5,1,4,1,0.786472670074715,2.5
21,22,Female,Married,Bachelor,Operations,Operations Manager,0.0,0.0,0,5921,1,4,1,1,3,No,10.3,1,5,1,0.0,1.75
22,37,Female,Divorced,Master,Operations,Operations Manager,3.7,2.2,2,8285,2,4,4,1,4,No,10.7,2,4,1,0.44659022329511167,2.75
23,56,Female,Married,Master,Sales,Sales Manager,2.2,2.2,2,8143,2,4,3,1,3,No,21.5,1,2,1,0.27017069875967087,2.5
24,58,Female,Married,Master,Finance,Accountant,3.9,1.2,0,8379,1,1,4,4,1,Yes,8.3,1,0,1,0.4654493376297888,2.5
25,26,Male,Married,Master,Finance,Financial Analyst,4.0,3.7,1,10407,2,2,2,2,3,No,9.1,3,0,1,0.3843566830018257,2.0
26,25,Male,Married,Master,Operations,Operations Manager,3.0,0.3,1,7280,4,3,3,3,2,Yes,3.1,2,4,0,0.41208791208791207,3.25
27,40,Female,Single,Bachelor,Finance,Accountant,5.0,1.0,0,7655,2,2,1,3,1,Yes,18.8,3,6,1,0.6531678641410842,2.0
28,43,Male,Married,Master,IT,Software Engineer,3.6,3.6,3,11921,4,1,2,2,3,No,10.4,1,5,1,0.30198808824763024,2.25
29,46,Female,Married,Bachelor,HR,HR Manager,3.0,2.5,0,5223,4,4,1,4,2,No,2.2,0,6,0,0.5743825387708213,3.25
30,51,Male,Single,Bachelor,Sales,Account Manager,7.4,4.4,0,7934,2,1,2,4,3,No,10.3,4,1,1,0.9326947315351651,2.25
31,40,Male,Married,Master,Sales,Sales Manager,4.7,2.8,0,10062,1,3,3,1,3,No,1.0,1,0,1,0.46710395547604855,2.0
32,45,Female,Single,Master,Finance,Accountant,6.2,4.1,0,12461,2,4,3,3,4,No,12.3,2,2,0,0.49755236337372605,3.0
33,47,Female,Married,Bachelor,IT,Product Manager,13.5,1.8,0,11441,1,3,3,3,3,No,1.7,1,2,1,1.1799667861200944,2.5
34,36,Female,Married,Bachelor,HR,HR Manager,1.7,0.9,0,5609,2,4,2,2,3,No,17.0,1,6,1,0.30308432875735425,2.5
35,26,Male,Married,Bachelor,HR,HR Business Partner,4.0,4.0,1,6202,4,3,2,2,3,Yes,2.0,1,3,1,0.6449532408900355,2.75
36,25,Female,Married,High School,Sales,Account Manager,3.0,3.0,0,4649,2,3,3,1,2,No,37.8,2,3,1,0.6453000645300064,2.25
37,47,Male,Married,Bachelor,HR,Recruiter,2.1,0.7,0,5529,3,3,4,3,2,No,2.4,2,4,0,0.3798155181768855,3.25
38,38,Female,Married,High School,Operations,Supply Chain Analyst,16.0,2.6,1,8122,3,4,3,2,3,Yes,3.0,4,5,0,1.9699581383895592,3.0
39,25,Male,Divorced,Master,IT,Data Scientist,3.0,2.8,1,11125,3,1,4,1,3,No,4.9,2,1,1,0.2696629213483146,2.25
40,45,Female,Married,Master,Operations,Operations Manager,1.2,0.4,1,7915,2,3,1,3,4,Yes,10.7,1,2,1,0.1516108654453569,2.25
41,23,Male,Married,High School,Finance,Accountant,1.0,1.0,1,5807,2,2,4,4,2,No,8.6,1,0,1,0.17220595832615807,3.0
42,43,Female,Married,PhD,Finance,Accountant,0.4,0.4,0,12880,1,1,1,2,4,Yes,23.8,1,1,1,0.031055900621118012,1.25
43,23,Male,Single,Master,Operations,Supply Chain Analyst,1.0,0.6,1,8654,1,3,3,4,3,No,6.5,1,4,1,0.11555350127108852,2.75
44,30,Female,Single,High School,Sales,Sales Executive,1.8,1.5,0,6116,3,2,1,4,3,Yes,1.3,1,1,1,0.2943100065402224,2.5
45,33,Male,Married,Master,Finance,Financial Analyst,10.7,5.2,7,14175,1,4,3,3,4,Yes,9.7,0,6,0,0.7548500881834215,2.75
46,52,Female,Single,Master,IT,DevOps Engineer,9.6,0.6,0,13840,2,3,1,3,3,No,7.2,1,1,1,0.6936416184971098,2.25
47,23,Male,Single,Master,Finance,Financial Analyst,1.0,1.0,1,9456,1,2,1,1,1,Yes,4.8,1,0,1,0.10575296108291032,1.25
48,35,Male,Married,Master,Finance,Financial Analyst,3.4,2.1,0,10238,3,2,1,1,3,No,14.9,1,3,1,0.33209611252197696,1.75
49,31,Male,Single,Bachelor,IT,DevOps Engineer,7.0,3.6,0,10439,1,3,4,2,3,No,7.8,3,3,1,0.6705623143979308,2.5
50,55,Male,Single,Bachelor,Finance,Financial Analyst,5.1,2.2,1,7303,2,4,4,3,1,No,9.0,1,1,1,0.6983431466520608,3.25
51,34,Male,Married,Master,Operations,Operations Manager,9.5,1.7,0,9013,1,2,4,3,3,Yes,17.0,1,6,1,1.0540330633529347,2.5
52,57,Female,Single,Master,IT,Product Manager,4.6,1.5,2,12901,2,4,4,4,4,Yes,4.7,1,5,0,0.3565615068599333,3.5
53,53,Female,Single,Master,Operations,Logistics Coordinator,9.8,1.4,3,9550,2,2,2,4,3,No,17.7,5,6,1,1.0261780104712042,2.5
54,32,Female,Single,Bachelor,Finance,Financial Analyst,10.0,2.7,2,8371,3,2,4,2,2,No,5.2,0,1,0,1.194600406164138,2.75
55,37,Male,Single,Bachelor,Finance,Financial Analyst,7.7,7.2,1,9323,1,4,4,1,4,No,7.3,0,3,1,0.8259144052343667,2.5
56,59,Male,Married,Bachelor,Finance,Financial Analyst,14.7,8.6,1,11134,3,3,2,4,3,No,16.0,3,6,0,1.3202802227411532,3.0
57,43,Male,Married,Bachelor,IT,Product Manager,5.5,1.3,1,10465,1,4,2,2,3,Yes,12.4,1,0,1,0.5255613951266125,2.25
58,29,Female,Married,Bachelor,HR,HR Business Partner,7.0,2.7,7,7396,2,3,3,3,3,No,4.8,1,3,1,0.9464575446187128,2.75
59,50,Female,Married,Master,IT,Data Scientist,2.8,2.8,0,11327,3,4,2,3,3,No,1.5,1,3,0,0.24719696300874017,3.0
60,53,Female,Married,High School,Operations,Logistics Coordinator,12.3,3.9,1,6891,2,2,1,4,3,No,5.6,2,1,1,1.784936874183718,2.25
61,35,Male,Single,Bachelor,Sales,Sales Manager,4.7,1.2,0,6906,4,2,3,2,3,No,1.6,3,6,1,0.6805676223573704,2.75
62,24,Male,Married,Bachelor,Operations,Logistics Coordinator,2.0,0.8,1,6618,2,4,4,1,3,No,0.7,2,3,1,0.30220610456331215,2.75
63,23,Male,Single,Bachelor,Sales,Account Manager,1.0,1.0,1,6180,4,1,2,4,3,Yes,1.8,1,6,1,0.16181229773462785,2.75
64,37,Female,Single,Master,Finance,Financial Analyst,3.3,3.3,3,11556,3,2,1,3,4,Yes,8.2,2,3,0,0.28556593977154726,2.25
65,40,Female,Married,Master,Sales,Sales Manager,7.2,3.2,5,9066,1,1,1,4,3,Yes,5.0,1,2,1,0.7941760423560555,1.75
66,39,Female,Divorced,Bachelor,Sales,Sales Manager,4.8,2.5,1,6582,3,3,1,3,3,No,6.5,1,5,1,0.7292616226071102,2.5
67,42,Female,Married,Bachelor,Finance,Financial Analyst,3.4,0.7,3,7834,4,4,3,3,3,No,6.8,2,5,0,0.4340056165432729,3.5
68,35,Male,Single,Bachelor,HR,HR Manager,5.9,5.9,1,6672,2,2,1,1,3,No,7.3,3,1,1,0.8842925659472423,1.5
69,41,Male,Married,Master,Finance,Accountant,6.1,6.1,2,11655,3,2,4,2,3,No,10.5,4,3,1,0.5233805233805234,2.75
70,31,Female,Single,Master,IT,Software Engineer,7.2,1.3,0,13334,1,2,4,1,3,Yes,32.3,1,4,1,0.5399730013499325,2.0
71,32,Female,Single,High School,IT,Data Scientist,10.0,1.8,3,8478,1,4,3,1,3,Yes,5.1,1,2,1,1.179523472517103,2.25
72,29,Female,Married,Master,Finance,Accountant,2.3,2.3,1,11491,4,2,4,2,4,Yes,3.4,2,3,1,0.20015664433034547,3.0
73,33,Female,Married,Bachelor,Operations,Supply Chain Analyst,5.6,4.3,5,7077,2,2,2,4,3,No,7.4,0,0,1,0.791295746785361,2.5
74,24,Male,Married,Bachelor,HR,Recruiter,2.0,2.0,2,6564,4,2,2,2,4,No,5.5,1,1,0,0.30469226081657524,2.5
75,39,Female,Single,Master,Sales,Account Manager,17.0,2.0,1,10567,3,3,1,2,2,Yes,7.2,1,4,0,1.6087820573483487,2.25
76,41,Male,Married,High School,Finance,Finance Manager,7.3,1.1,0,6906,3,2,2,1,2,No,9.3,1,0,0,1.0570518389805965,2.0
77,28,Female,Married,High School,Sales,Sales Executive,1.7,1.7,0,4996,3,2,3,1,4,No,7.0,1,1,1,0.34027221777421934,2.25
78,42,Male,Married,Bachelor,IT,Product Manager,8.2,1.0,0,9707,3,1,4,4,2,No,5.8,0,3,0,0.8447512104666735,3.0
79,42,Female,Single,High School,Sales,Sales Executive,3.6,3.6,0,6188,2,4,4,4,3,No,18.9,0,3,1,0.5817711700064642,3.5
80,58,Male,Married,High School,Sales,Sales Executive,5.9,0.1,0,6449,4,3,4,3,4,No,3.1,0,1,1,0.9148705225616376,3.5
81,53,Male,Married,Master,Sales,Sales Executive,2.2,1.6,2,8120,2,1,1,1,3,No,15.9,2,2,1,0.27093596059113306,1.25
